id;transaction_id;transaction_type;amount;time;currency
1;Kentucky;Ergonomic Concrete Soap;47193;2020-03-31T06:25:22;USD
2;parsing Buckinghamshire orchestrate;Estates Kids;78266;2020-03-31T01:09:47;SGD
3;Engineer embrace SQL;Checking Account;36557;2020-03-30T11:02:27;MYR
4;Auto Loan Account Zimbabwe;Licensed Sleek Fresh Ball interface;29343;2020-03-30T18:32:16;USD
5;Small Assistant;grey Gourde US Dollar 4th generation;37920;2020-03-31T08:30:40;SGD
6;programming deliver withdrawal;Cloned;39083;2020-03-30T16:52:54;USD
7;connecting Bacon optical;olive IB;21598;2020-03-30T20:22:23;USD
8;capacitor invoice;Awesome Cotton Soap;88660;2020-03-30T16:10:04;SGD
9;Berkshire hard drive;SSL Avon mesh;85161;2020-03-30T11:47:59;MYR
10;Savings Account Denar intangible;SCSI Lek;98464;2020-03-30T17:50:09;MYR
